DUPLICATE,HAWB,OVERDUE,SUM,VER,RELEASED,ALL CLEAR,LAST IMPORTED,FIRST IMPORTED,FS DEVAN,OF LOCATION,OF DEVAN,OF PIECE COUNT,PIECE COUNT DIFF,FS LOCATION,FS PIECE COUNT,FS PRIMARY LOCATION,CLIENT NAME,RELEASE DATE,CONSIGNEE
False,szxada00005,False,True,True,False,False,2021-03-05 00:20:38,2021-02-26 09:17:16,N.A.,1378-c,10/20/2021,35,-35,N.A.,0,N.A.,N.A.,0,0
False,4396630133,True,True,False,False,False,2021-03-05 00:20:39,2021-02-26 09:17:16,2020-09-11 00:15:00,1364-c,9/10/2021,400,-332,"CHK,1364C,, (68)",68,1364C,EXPEDITORS INT'L - AIR IMPORT,None,GREATER PACIFIC INDU
False,4431676974,True,True,False,True,False,2021-03-05 00:20:40,2021-02-26 09:17:16,2021-01-12 16:30:00,1342A/b,1/16/2021,10,22,"SUB,,, (32)",32,,EXPEDITORS INT'L - AIR IMPORT,2021-01-17 00:00:00,TE CONNECTIVITY
False,622493769,True,True,False,True,False,2021-03-05 00:20:41,2021-02-26 09:17:16,2021-01-09 15:50:00,1330-d/c,1/9/2021,390,-312,"R12,1330CD,1331D,3 (78)",78,1330CD,EXPEDITORS INT'L - IMPORT DEPT.,2021-02-19 00:00:00,"OLD NAVY, LLC"
False,417767944,True,True,False,True,False,2021-03-05 00:20:46,2021-02-26 09:17:17,2021-01-14 01:45:00,1308A,1/14/2021,30,-24,"R12,1308A,,1 (6)",6,1308A,EXPEDITORS INT'L - AIR IMPORT,2021-02-04 00:00:00,THE GAP INC.
False,41C0007036,True,True,False,True,False,2021-03-05 00:20:47,2021-02-26 09:17:17,2021-01-09 01:30:00,1303A,1/8/2021,90,-72,"R12,1303A,,1 (18)",18,1303A,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,41C0007035,True,True,False,True,False,2021-03-05 00:20:48,2021-02-26 09:17:17,2021-01-09 01:30:00,1302A,1/8/2021,75,-60,"R12,1302C,,1 (15)",15,1302C,EXPEDITORS INT'L - AIR IMPORT,2021-02-19 00:00:00,BANANA REPUBLIC LLC
False,4621186112,True,True,False,True,False,2021-03-05 00:20:49,2021-02-26 09:17:17,2021-01-12 20:35:00,1300B,1/12/2021,20,-16,"R12,1300B,,1 (4)",4,1300B,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,412131640,True,True,False,True,False,2021-03-05 00:20:50,2021-02-26 09:17:17,2021-01-07 04:00:00,1299B,1/6/2021,50,-40,"R12,1299B,,1 (10)",10,1299B,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,4396728874,True,True,False,True,False,2021-03-05 00:20:50,2021-02-26 09:17:17,2021-01-13 05:17:00,1295B,1/13/2021,5,-1,"R12,1295D,, (4)",4,1295D,EXPEDITORS INT'L - AIR IMPORT,2021-01-22 00:00:00,"PUREWRX, INC."
False,417767873,True,True,False,True,False,2021-03-05 00:20:51,2021-02-26 09:17:17,2021-01-14 01:45:00,1290B,1/14/2021,10,-8,"R12,1290B,,1 (2)",2,1290B,EXPEDITORS INT'L - AIR IMPORT,2021-01-28 00:00:00,THE GAP INC.
False,41a0136026,True,True,False,True,False,2021-03-05 00:20:53,2021-02-26 09:17:17,2020-10-25 02:20:00,1285A,10/25/2020,5,-4,"R12,1284-A,, (1)",1,1284-A,EXPEDITORS INT'L - AIR IMPORT,2020-11-09 00:00:00,GARRETT TRANSPORTATI
False,41C0007040,True,True,False,True,False,2021-03-05 00:20:53,2021-02-26 09:17:18,2021-01-09 01:30:00,1281A,1/8/2021,10,-8,"R12,1281A,,1 (2)",2,1281A,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,THE GAP INC.
False,4431677154,True,True,False,True,False,2021-03-05 00:20:54,2021-02-26 09:17:18,2021-01-12 16:30:00,1280A,1/16/2021,45,-36,"S2,158,, (9)",9,158,EXPEDITORS INT'L - AIR IMPORT,2021-01-18 00:00:00,"CYMER, LLC"
False,3616,True,True,False,True,False,2021-03-05 00:20:56,2021-02-26 09:17:18,2012-01-24 13:30:00,1279-f,1/29/2021,205,-203,"R0,003B,,1 (19)",2,303,EXPEDITORS INT'L - AIR IMPORT,2012-01-24 00:00:00,ROGERS
False,3614,True,True,False,True,False,2021-03-05 00:20:57,2021-02-26 09:17:18,2020-01-24 23:00:00,1278-f,1/13/2021,245,-242,"R12,1264B,,1 (3)",3,1278F,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,K-C AFC MANUFACTURIN
False,417278927,True,True,False,True,False,2021-03-05 00:20:58,2021-02-26 09:17:18,2021-01-09 14:00:00,1278-d,1/9/2021,5,-4,"R12,1287E,, (1)",1,1287E,EXPEDITORS INT'L - AIR IMPORT,2021-02-26 00:00:00,MORENCI MINING JV
